cart=0 steps home=0 steps raw=0 active=no ena=OFF enaPin=LOW dir=CW dir26=LOW dir33=HIGH commanded=+0 steps/s current=+0 steps/s homeStop=clear homed=no homing=no travel=0 steps centerHome=0 steps limits=[0,0]
mode=MANUAL telemetry=OFF sensor=online ack=yes rawRead=yes i2c=0 readUs=297 maxReadUs=661 sample=yes angleRef=no(UNSET) cartCenter=0 steps angle=0.0000 rad (0.00 deg) cartVel=0.00 steps/s angleVel=0.0000 rad/s sampleTs=62369185 K=[-2.172154 -2.726762 -297368.531250 -31334.011719]
Angle log enabled: buffer=2048 samples at target 250 Hz
Angle log: ON samples=2048/2048 wrapped=yes
Angle log timing: teacherTimerCallbacks=3118 teacherTaskWakes=3118 teacherTaskNotifications=3118
Angle log session: start_us=67864416 stop_us=0 duration_us=12472719
Angle log disabled
ANGLE_LOG_SESSION_HEADER,start_us,stop_us,duration_us,teacher_timer_callbacks_at_stop,teacher_task_wakes_at_stop,teacher_task_notifications_at_stop,samples
ANGLE_LOG_SESSION,67864416,88744433,20880017,5220,5220,5220,2048
ANGLE_LOG_DIAG_HEADER,teacher_timer_callbacks,teacher_task_wakes,teacher_task_notifications,samples
ANGLE_LOG_DIAG,5220,5220,5220,2048
ANGLE_LOG_HEADER,index,timestamp_us,sample_dt_us,angle_raw_counts
ANGLE_LOG,0,80556108,4000,3503
ANGLE_LOG,1,80560108,4000,3503
ANGLE_LOG,2,80564135,4027,3503
ANGLE_LOG,3,80568108,3973,3503
ANGLE_LOG,4,80572108,4000,3503
ANGLE_LOG,5,80576108,4000,3503
ANGLE_LOG,6,80580108,4000,3503
ANGLE_LOG,7,80584135,4027,3503
ANGLE_LOG,8,80588108,3973,3503
ANGLE_LOG,9,80592108,4000,3503
ANGLE_LOG,10,80596108,4000,3503
ANGLE_LOG,11,80600108,4000,3503
ANGLE_LOG,12,80604135,4027,3503
ANGLE_LOG,13,80608108,3973,3503
ANGLE_LOG,14,80612108,4000,3503
ANGLE_LOG,15,80616108,4000,3503
ANGLE_LOG,16,80620108,4000,3503
ANGLE_LOG,17,80624135,4027,3503
ANGLE_LOG,18,80628108,3973,3503
ANGLE_LOG,19,80632108,4000,3503
ANGLE_LOG,20,80636108,4000,3503
ANGLE_LOG,21,80640108,4000,3503
ANGLE_LOG,22,80644135,4027,3503
ANGLE_LOG,23,80648108,3973,3503
ANGLE_LOG,24,80652108,4000,3503
ANGLE_LOG,25,80656108,4000,3503
ANGLE_LOG,26,80660108,4000,3503
ANGLE_LOG,27,80664135,4027,3503
ANGLE_LOG,28,80668108,3973,3503
ANGLE_LOG,29,80672108,4000,3503
ANGLE_LOG,30,80676108,4000,3503
ANGLE_LOG,31,80680108,4000,3503
ANGLE_LOG,32,80684135,4027,3503
ANGLE_LOG,33,80688108,3973,3503
ANGLE_LOG,34,80692108,4000,3503
ANGLE_LOG,35,80696108,4000,3503
ANGLE_LOG,36,80700108,4000,3503
ANGLE_LOG,37,80704135,4027,3503
ANGLE_LOG,38,80708108,3973,3503
ANGLE_LOG,39,80712108,4000,3503
ANGLE_LOG,40,80716108,4000,3503
ANGLE_LOG,41,80720108,4000,3503
ANGLE_LOG,42,80724135,4027,3503
ANGLE_LOG,43,80728108,3973,3503
ANGLE_LOG,44,80732108,4000,3503
ANGLE_LOG,45,80736108,4000,3503
ANGLE_LOG,46,80740108,4000,3503
ANGLE_LOG,47,80744135,4027,3503
ANGLE_LOG,48,80748108,3973,3503
ANGLE_LOG,49,80752108,4000,3503
ANGLE_LOG,50,80756108,4000,3503
ANGLE_LOG,51,80760108,4000,3503
ANGLE_LOG,52,80764135,4027,3503
ANGLE_LOG,53,80768108,3973,3503
ANGLE_LOG,54,80772108,4000,3503
ANGLE_LOG,55,80776108,4000,3503
ANGLE_LOG,56,80780108,4000,3503
ANGLE_LOG,57,80784135,4027,3503
ANGLE_LOG,58,80788108,3973,3503
ANGLE_LOG,59,80792108,4000,3503
ANGLE_LOG,60,80796108,4000,3503
ANGLE_LOG,61,80800108,4000,3503
ANGLE_LOG,62,80804135,4027,3503
ANGLE_LOG,63,80808108,3973,3503
ANGLE_LOG,64,80812108,4000,3503
ANGLE_LOG,65,80816108,4000,3503
ANGLE_LOG,66,80820108,4000,3503
ANGLE_LOG,67,80824135,4027,3503
ANGLE_LOG,68,80828108,3973,3503
ANGLE_LOG,69,80832108,4000,3503
ANGLE_LOG,70,80836108,4000,3503
ANGLE_LOG,71,80840108,4000,3503
ANGLE_LOG,72,80844135,4027,3503
ANGLE_LOG,73,80848108,3973,3503
ANGLE_LOG,74,80852108,4000,3503
ANGLE_LOG,75,80856108,4000,3503
ANGLE_LOG,76,80860108,4000,3503
ANGLE_LOG,77,80864135,4027,3503
ANGLE_LOG,78,80868108,3973,3503
ANGLE_LOG,79,80872108,4000,3503
ANGLE_LOG,80,80876108,4000,3503
ANGLE_LOG,81,80880108,4000,3503
ANGLE_LOG,82,80884135,4027,3503
ANGLE_LOG,83,80888108,3973,3503
ANGLE_LOG,84,80892108,4000,3503
ANGLE_LOG,85,80896108,4000,3503
ANGLE_LOG,86,80900108,4000,3503
ANGLE_LOG,87,80904135,4027,3503
ANGLE_LOG,88,80908108,3973,3503
ANGLE_LOG,89,80912108,4000,3503
ANGLE_LOG,90,80916108,4000,3503
ANGLE_LOG,91,80920108,4000,3503
ANGLE_LOG,92,80924135,4027,3503
ANGLE_LOG,93,80928108,3973,3503
ANGLE_LOG,94,80932108,4000,3503
ANGLE_LOG,95,80936108,4000,3503
ANGLE_LOG,96,80940108,4000,3503
ANGLE_LOG,97,80944135,4027,3503
ANGLE_LOG,98,80948108,3973,3503
ANGLE_LOG,99,80952108,4000,3503
ANGLE_LOG,100,80956108,4000,3503
ANGLE_LOG,101,80960108,4000,3503
ANGLE_LOG,102,80964135,4027,3503
ANGLE_LOG,103,80968108,3973,3503
ANGLE_LOG,104,80972108,4000,3503
ANGLE_LOG,105,80976108,4000,3503
ANGLE_LOG,106,80980108,4000,3503
ANGLE_LOG,107,80984135,4027,3503
ANGLE_LOG,108,80988108,3973,3503
ANGLE_LOG,109,80992108,4000,3503
ANGLE_LOG,110,80996108,4000,3503
ANGLE_LOG,111,81000108,4000,3503
ANGLE_LOG,112,81004135,4027,3503
ANGLE_LOG,113,81008108,3973,3503
ANGLE_LOG,114,81012108,4000,3503
ANGLE_LOG,115,81016108,4000,3503
ANGLE_LOG,116,81020108,4000,3503
ANGLE_LOG,117,81024135,4027,3503
ANGLE_LOG,118,81028108,3973,3503
ANGLE_LOG,119,81032108,4000,3503
ANGLE_LOG,120,81036108,4000,3503
ANGLE_LOG,121,81040108,4000,3503
ANGLE_LOG,122,81044135,4027,3503
ANGLE_LOG,123,81048108,3973,3503
ANGLE_LOG,124,81052108,4000,3503
ANGLE_LOG,125,81056108,4000,3503
ANGLE_LOG,126,81060108,4000,3503
ANGLE_LOG,127,81064135,4027,3503
ANGLE_LOG,128,81068108,3973,3503
ANGLE_LOG,129,81072108,4000,3503
ANGLE_LOG,130,81076108,4000,3503
ANGLE_LOG,131,81080108,4000,3503
ANGLE_LOG,132,81084135,4027,3503
ANGLE_LOG,133,81088108,3973,3503
ANGLE_LOG,134,81092108,4000,3503
ANGLE_LOG,135,81096108,4000,3503
ANGLE_LOG,136,81100108,4000,3503
ANGLE_LOG,137,81104135,4027,3503
ANGLE_LOG,138,81108108,3973,3503
ANGLE_LOG,139,81112108,4000,3503
ANGLE_LOG,140,81116108,4000,3503
ANGLE_LOG,141,81120108,4000,3503
ANGLE_LOG,142,81124135,4027,3503
ANGLE_LOG,143,81128108,3973,3503
ANGLE_LOG,144,81132108,4000,3503
ANGLE_LOG,145,81136108,4000,3503
ANGLE_LOG,146,81140108,4000,3503
ANGLE_LOG,147,81144135,4027,3503
ANGLE_LOG,148,81148108,3973,3503
ANGLE_LOG,149,81152108,4000,3503
ANGLE_LOG,150,81156108,4000,3503
ANGLE_LOG,151,81160108,4000,3503
ANGLE_LOG,152,81164135,4027,3503
ANGLE_LOG,153,81168108,3973,3503
ANGLE_LOG,154,81172108,4000,3503
ANGLE_LOG,155,81176108,4000,3503
ANGLE_LOG,156,81180108,4000,3503
ANGLE_LOG,157,81184135,4027,3503
ANGLE_LOG,158,81188108,3973,3503
ANGLE_LOG,159,81192108,4000,3503
ANGLE_LOG,160,81196108,4000,3503
ANGLE_LOG,161,81200108,4000,3503
ANGLE_LOG,162,81204135,4027,3503
ANGLE_LOG,163,81208108,3973,3503
ANGLE_LOG,164,81212108,4000,3503
ANGLE_LOG,165,81216108,4000,3503
ANGLE_LOG,166,81220108,4000,3503
ANGLE_LOG,167,81224135,4027,3503
ANGLE_LOG,168,81228108,3973,3503
ANGLE_LOG,169,81232108,4000,3503
ANGLE_LOG,170,81236108,4000,3503
ANGLE_LOG,171,81240108,4000,3503
ANGLE_LOG,172,81244135,4027,3503
ANGLE_LOG,173,81248108,3973,3503
ANGLE_LOG,174,81252108,4000,3503
ANGLE_LOG,175,81256108,4000,3503
ANGLE_LOG,176,81260108,4000,3503
ANGLE_LOG,177,81264135,4027,3503
ANGLE_LOG,178,81268108,3973,3503
ANGLE_LOG,179,81272108,4000,3503
ANGLE_LOG,180,81276108,4000,3503
ANGLE_LOG,181,81280108,4000,3503
ANGLE_LOG,182,81284135,4027,3503
ANGLE_LOG,183,81288108,3973,3503
ANGLE_LOG,184,81292108,4000,3503
ANGLE_LOG,185,81296108,4000,3503
ANGLE_LOG,186,81300108,4000,3503
ANGLE_LOG,187,81304135,4027,3503
ANGLE_LOG,188,81308108,3973,3503
ANGLE_LOG,189,81312108,4000,3503
ANGLE_LOG,190,81316108,4000,3503
ANGLE_LOG,191,81320108,4000,3503
ANGLE_LOG,192,81324135,4027,3503
ANGLE_LOG,193,81328108,3973,3503
ANGLE_LOG,194,81332108,4000,3503
ANGLE_LOG,195,81336108,4000,3503
ANGLE_LOG,196,81340108,4000,3503
ANGLE_LOG,197,81344135,4027,3503
ANGLE_LOG,198,81348108,3973,3503
ANGLE_LOG,199,81352108,4000,3503
ANGLE_LOG,200,81356108,4000,3503
ANGLE_LOG,201,81360108,4000,3503
ANGLE_LOG,202,81364135,4027,3503
ANGLE_LOG,203,81368108,3973,3503
ANGLE_LOG,204,81372108,4000,3503
ANGLE_LOG,205,81376108,4000,3503
ANGLE_LOG,206,81380108,4000,3503
ANGLE_LOG,207,81384135,4027,3503
ANGLE_LOG,208,81388108,3973,3503
ANGLE_LOG,209,81392108,4000,3503
ANGLE_LOG,210,81396108,4000,3503
ANGLE_LOG,211,81400108,4000,3503
ANGLE_LOG,212,81404135,4027,3503
ANGLE_LOG,213,81408108,3973,3503
ANGLE_LOG,214,81412108,4000,3503
ANGLE_LOG,215,81416108,4000,3503
ANGLE_LOG,216,81420108,4000,3503
ANGLE_LOG,217,81424135,4027,3503
ANGLE_LOG,218,81428108,3973,3503
ANGLE_LOG,219,81432108,4000,3503
ANGLE_LOG,220,81436108,4000,3503
ANGLE_LOG,221,81440108,4000,3503
ANGLE_LOG,222,81444135,4027,3503
ANGLE_LOG,223,81448108,3973,3503
ANGLE_LOG,224,81452108,4000,3503
ANGLE_LOG,225,81456108,4000,3503
ANGLE_LOG,226,81460108,4000,3503
ANGLE_LOG,227,81464135,4027,3503
ANGLE_LOG,228,81468108,3973,3503
ANGLE_LOG,229,81472108,4000,3503
ANGLE_LOG,230,81476108,4000,3503
ANGLE_LOG,231,81480108,4000,3503
ANGLE_LOG,232,81484135,4027,3503
ANGLE_LOG,233,81488108,3973,3503
ANGLE_LOG,234,81492108,4000,3503
ANGLE_LOG,235,81496108,4000,3503
ANGLE_LOG,236,81500108,4000,3503
