frame_index,frame_filename,control_step,simulated_time_s,cart_position_steps,cart_velocity_steps_s,pole_angle_rad,pole_angle_deg,pole_angle_rate_rad_s,pole_angle_rate_deg_s,raw_control_steps_s,target_control_steps_s,applied_control_steps_s
0,frame_000000.png,1,0.004,6.622505690994441,3239.28994415018,0.08656903655958086,4.960040431377707,-0.3404940584103865,-19.508872496196076,25950.301003874953,25950.301003874953,25950.301003874953
1,frame_000001.png,2,0.008,24.857634131009164,5820.921673087125,0.0846631705669418,4.850842353681978,-0.6059697172466778,-34.71950731097049,23921.020077030767,23921.020077030767,23921.020077030767
2,frame_000002.png,3,0.012,52.29955287578534,7854.852620279604,0.08182232992209511,4.68807417446304,-0.8094342873990381,-46.377168461144194,22114.961790137633,22114.961790137633,22114.961790137633
3,frame_000003.png,4,0.016,86.94612121462322,9433.363909580763,0.07827228430281584,4.484671543399431,-0.9617762120149667,-55.10571778453705,20500.476754468164,20500.476754468164,20500.476754468164
4,frame_000004.png,5,0.02,127.13394314209782,10633.876889210376,0.07419888979180873,4.251283229626968,-1.0721041381374232,-61.42704231378495,19050.802829090753,19050.802829090753,19050.802829090753
5,frame_000005.png,6,0.024,171.48377082576238,11521.321795490967,0.06975462502577061,3.996645615494287,-1.1480320012481768,-65.77738841747819,17743.29371802058,17743.29371802058,17743.29371802058
6,frame_000006.png,7,0.028,218.8546126202292,12150.129730620336,0.06506407985982253,3.7278971738699718,-1.195918706577236,-68.52109452761991,16558.769962086983,16558.769962086983,16558.769962086983
7,frame_000007.png,8,0.032,268.3051612869953,12565.907826007182,0.06022856339572461,3.450842488711138,-1.2210696267341863,-69.96213610348367,15480.972882092872,15480.972882092872,15480.972882092872
8,frame_000008.png,9,0.036000000000000004,319.0613781128168,12806.847947741906,0.055329971690753245,3.170173858458485,-1.227905987730927,-70.35383073582477,14496.105119465792,14496.105119465792,14496.105119465792
9,frame_000009.png,10,0.04,370.48925368443685,12904.911297920025,0.05043403314958841,2.889657243294302,-1.220107250341249,-69.90699599786534,13592.44401924092,13592.44401924092,13592.44401924092
10,frame_000010.png,11,0.044,422.0719217311671,12886.82453448209,0.04559303083384812,2.612288241989326,-1.200730782000131,-68.79680614005042,12760.016285898055,12760.016285898055,12760.016285898055
11,frame_000011.png,12,0.048,473.3904333632076,12774.917370870646,0.04084808513933873,2.3404228796751663,-1.1723124317094307,-67.16855460766892,11990.324180924286,11990.324180924286,11990.324180924286
12,frame_000012.png,13,0.052000000000000005,524.1076091438961,12587.826855139323,0.03623106701556748,2.0758872272476636,-1.136951046185175,-65.14249645939407,11276.115077187194,11276.115077187194,11276.115077187194
13,frame_000013.png,14,0.056,573.954479044782,12341.089523203897,0.03176620073683112,1.820069233385789,-1.0963794825114792,-62.81791709264501,10611.18748570581,10611.18748570581,10611.18748570581
14,frame_000014.png,15,0.06,622.7188982245531,12047.639252444245,0.0274714058438671,1.5739956121446106,-1.0520242663539945,-60.276550407430655,9990.227764245385,9990.227764245385,9990.227764245385
15,frame_000015.png,16,0.064,670.2359920854698,11718.225808704157,0.023359419977546186,1.3383961765869767,-1.005055703133313,-57.585449965092224,9408.67263717852,9408.67263717852,9408.67263717852
16,frame_000016.png,17,0.068,716.3801391614518,11361.766696821333,0.019438737684140533,1.1137576283631605,-0.9564299622061171,-54.799400234267345,8862.59342987429,8862.59342987429,8862.59342987429
17,frame_000017.png,18,0.07200000000000001,761.0582467349935,10985.642920600447,0.015714394685767897,0.90036849309731,-0.9069244124196338,-51.96294116902708,8348.59857172881,8348.59857172881,8348.59857172881
18,frame_000018.png,19,0.076,804.2041130574347,10595.947572436338,0.012188622411852064,0.6983566222776896,-0.8571672841351513,-49.11206771763521,7863.751469379495,7863.751469379495,7863.751469379495
19,frame_000019.png,20,0.08,845.7737028293194,10197.694754984754,0.008861393636686555,0.5077204559862235,-0.8076625618543786,-46.275656064979685,7405.501312084307,7405.501312084307,7405.501312084307
20,frame_000020.png,21,0.084,885.7411901692145,9794.995144791093,0.005730876745711916,0.3283550504389607,-0.7588108677938212,-43.47666017324544,6971.624758521331,6971.624758521331,6971.624758521331
21,frame_000021.png,22,0.088,924.0956464884883,9391.203504815323,0.00279381335905496,0.16007371422111688,-0.7109269758186124,-40.733115256405625,6560.176780000171,6560.176780000171,6560.176780000171
22,frame_000022.png,23,0.092,960.8382701926746,8989.042609216243,4.58316912394318e-05,0.002625962475966151,-0.6642544934361709,-38.05897899649304,6169.44920905346,6169.44920905346,6169.44920905346
23,frame_000023.png,24,0.096,995.9800715329558,8590.70733424954,-0.0025182939498809456,-0.14428761490150785,-0.6189781640066765,-35.464836408339046,5797.935772820009,5797.935772820009,5797.935772820009
24,frame_000024.png,25,0.1,1029.5399397267076,8197.952072385637,-0.0049044287834105185,-0.2810030702119036,-0.5752341693821734,-32.95849013731206,5444.3025844586455,5444.3025844586455,5444.3025844586455
25,frame_000025.png,26,0.10400000000000001,1061.5430310683541,7812.1641248456435,-0.007118900950467506,-0.4078829792334584,-0.5331187526779778,-30.545454507726884,5107.363228861666,5107.363228861666,5107.363228861666
26,frame_000026.png,27,0.108,1092.0194265095427,7434.425305614636,-0.009168356514297218,-0.5253081333405054,-0.4926954299913058,-28.229368723885145,4786.057716064568,4786.057716064568,4786.057716064568
27,frame_000027.png,28,0.112,1121.0030153940127,7065.563634944085,-0.011059640883466011,-0.6336707455529396,-0.4540010170837961,-26.0123421735483,4479.434691088405,4479.434691088405,4479.434691088405
28,frame_000028.png,29,0.116,1148.5305689340794,6706.196701737478,-0.012799702306616029,-0.7333689211929633,-0.4170506610510402,-23.89524272136563,4186.63638596717,4186.63638596717,4186.63638596717
29,frame_000029.png,30,0.12,1174.6409728197546,6356.768023056962,-0.01439551378544755,-0.8248021838285399,-0.3818420367318158,-21.8779371454124,3906.885881314886,3906.885881314886,3906.885881314886
30,frame_000030.png,31,0.124,1199.3745932326192,6017.577517751667,-0.015854010339544856,-0.9083678808126895,-0.3483588421528295,-19.959491411421165,3639.476313426424,3639.476313426424,3639.476313426424
31,frame_000031.png,32,0.128,1222.7727546413505,5688.80703354615,-0.017182039050062433,-0.9844583209975476,-0.31657370589632344,-18.138337252675118,3383.7617206414916,3383.7617206414916,3383.7617206414916
32,frame_000032.png,33,0.132,1244.8773112076688,5370.541717504265,-0.01838631972401884,-1.05345852096442,-0.286450601274409,-16.412410492008398,3139.1492712654635,3139.1492712654635,3139.1492712654635
33,frame_000033.png,34,0.136,1265.7302965342053,5062.787894111916,-0.01947341436951864,-1.115744456082829,-0.25794684705423165,-14.779265674914026,2905.0926561915403,2905.0926561915403,2905.0926561915403
34,frame_000034.png,35,0.14,1285.3736389266828,4765.488009526832,-0.0204497039651625,-1.171681729495756,-0.2310147617468482,-13.23617085331466,2681.086463731243,2681.086463731243,2681.086463731243
35,frame_000035.png,36,0.14400000000000002,1303.8489313952507,4478.533111649984,-0.021321371253063,-1.2216245862320694,-0.20560302776713557,-11.780185746167943,2466.661383065646,2466.661383065646,2466.661383065646
36,frame_000036.png,37,0.148,1321.1972473455949,4201.773260911228,-0.022094388491702973,-1.2659152114969972,-0.18165781277014514,-10.408225987307027,2261.3801070453283,2261.3801070453283,2261.3801070453283
37,frame_000037.png,38,0.152,1337.458994361459,3935.0262037852945,-0.022774509278615185,-1.3048832621461832,-0.15912368790022527,-9.117115737239832,2064.833825521534,2064.833825521534,2064.833825521534
38,frame_000038.png,39,0.156,1352.6737997001796,3678.084588174405,-0.02336726369879197,-1.3388455887100372,-0.1379443763251671,-7.903630570996427,1876.639217598487,1876.639217598487,1876.639217598487
39,frame_000039.png,40,0.16,1366.8804221484506,3430.7219553217506,-0.02387795617727974,-1.368106112356462,-0.11806336007699764,-6.7645322475453025,1696.4358656728364,1696.4358656728364,1696.4358656728364
40,frame_000040.png,41,0.164,1380.116685747736,3192.6977055195152,-0.0243116655172999,-1.3929558270750215,-0.09942436872270657,-5.696596708563594,1523.884026304564,1523.884026304564,1523.884026304564
41,frame_000041.png,42,0.168,1392.4194316234968,2963.76120342216,-0.02467324669159712,-1.4136729023136365,-0.08197176960662932,-4.696636437678616,1358.662703210016,1358.662703210016,1358.662703210016
42,frame_000042.png,43,0.17200000000000001,1403.8244847615651,2743.6551623249634,-0.024967334027181258,-1.430522865450855,-0.06565087622742509,-3.761518129167206,1200.467976288086,1200.467976288086,1200.467976288086
43,frame_000043.png,44,0.176,1414.3666330869628,2532.1184245242653,-0.025198345484416965,-1.443758846969628,-0.050408188640722995,-2.8881764620127255,1049.0115478441903,1049.0115478441903,1049.0115478441903
44,frame_000044.png,45,0.18,1424.0796166306873,2328.8882361707606,-0.025370487782386163,-1.4536218741189466,-0.036191577532925914,-2.073624646557147,904.0194732798009,904.0194732798009,904.0194732798009
45,frame_000045.png,46,0.184,1432.9961249314733,2133.702099298069,-0.025487762165171294,-1.460341201297536,-0.02295042172455144,-1.3149623028621538,765.2310486513161,765.2310486513161,765.2310486513161
46,frame_000046.png,47,0.188,1441.1478011232327,1946.299270482638,-0.025553970639497447,-1.464134667444425,-0.010635707275814203,-0.609381139040736,632.3978318241298,632.3978318241298,632.3978318241298
47,frame_000047.png,48,0.192,1448.5652514139565,1766.4219644699078,-0.02557272254413767,-1.4652090724381417,0.0007999049650505748,0.04583117850895755,505.2827775854348,505.2827775854348,505.2827775854348
48,frame_000048.png,49,0.196,1455.2780588760895,1593.8163117509382,-0.025547441336558847,-1.463760565942881,0.011402037649301214,0.6532886351542259,383.65947014102585,383.65947014102585,383.65947014102585
49,frame_000049.png,50,0.2,1461.3148006482547,1428.23311121193,-0.025481371503248848,-1.459975043341085,0.02121457626949988,1.2155056844007337,267.3114389987895,267.3114389987895,267.3114389987895
50,frame_000050.png,51,0.20400000000000001,1466.703067799173,1269.4284123695193,-0.02537758551767761,-1.4540285443952474,0.03027966556329288,1.7348970418443004,156.03154641146557,156.03154641146557,156.03154641146557
51,frame_000051.png,52,0.20800000000000002,1471.4694872313235,1117.1639561482716,-0.025238990784458865,-1.446087651119072,0.03863771964938436,2.2137782659194145,49.62143637826284,49.62143637826284,49.62143637826284
52,frame_000052.png,53,0.212,1475.6397451081652,971.2074984860265,-0.02506833652046097,-1.4363098820360811,0.046327443121990414,2.6543669665224248,-52.1089632563735,-52.1089632563735,-52.1089632563735
53,frame_000053.png,54,0.216,1479.2386113778525,831.3330371267645,-0.024868220533755748,-1.4248440805847757,0.053385860796611825,3.0587845093187767,-149.3418927726152,-149.3418927726152,-149.3418927726152
54,frame_000054.png,55,0.22,1482.2899650410734,697.3209586610581,-0.024641095869722535,-1.411830795912346,0.059848354191274655,3.429058105964129,-242.25217268758752,-242.25217268758752,-242.25217268758752
55,frame_000055.png,56,0.224,1484.8168198732108,568.9581201012695,-0.024389277300616727,-1.3974026546995595,0.06574870315546281,3.7671231992664973,-331.0075811641145,-331.0075811641145,-331.0075811641145
56,frame_000056.png,57,0.228,1486.8413503634108,446.0378769487159,-0.024114947640700993,-1.3816847229911289,0.0711191313338962,4.0748260680688615,-415.76920109414914,-415.76920109414914,-415.76920109414914
57,frame_000057.png,58,0.232,1488.384917676971,328.3600677525147,-0.023820163873817423,-1.364794857279732,0.07599035438258381,4.353926589825511,-496.691740581442,-496.691740581442,-496.691740581442
58,frame_000058.png,59,0.23600000000000002,1489.468095484095,215.73096351552817,-0.023506863084214895,-1.346844044317391,0.08039163004733618,4.606101109889457,-573.9238299963749,-573.9238299963749,-573.9238299963749
59,frame_000059.png,60,0.24,1490.1106955286627,107.96318892185774,-0.02317686818467523,-1.3279367293129245,0.08435080937615977,4.832945375766487,-647.6082983106244,-647.6082983106244,-647.6082983106244
60,frame_000060.png,61,0.244,1490.331792836189,4.875621200793148,-0.022831893438620347,-1.3081711323253824,0.08789438847172182,5.035977502312978,-717.8824310264331,-717.8824310264331,-717.8824310264331
61,frame_000061.png,62,0.248,1490.1497504814167,-93.70672853126773,-0.022473549775027468,-1.2876395527862547,0.0910475603026112,5.2166409403024785,-784.8782116835305,-784.8782116835305,-784.8782116835305
62,frame_000062.png,63,0.252,1489.5822438536823,-187.95284742629485,-0.022103349896712452,-1.2664286621825476,0.09383426618599452,5.376307426164619,-848.7225486463049,-848.7225486463049,-848.7225486463049
63,frame_000063.png,64,0.256,1488.6462843728918,-278.0258632181849,-0.02172271318393091,-1.2446197850124319,0.0962772466324773,5.516279895181067,-909.5374886367767,-909.5374886367767,-909.5374886367767
64,frame_000064.png,65,0.26,1487.3582426211276,-364.08319392980957,-0.021332970396350175,-1.222289168188392,0.09839809130904595,5.637795344151239,-967.4404182781986,-967.4404182781986,-967.4404182781986
65,frame_000065.png,66,0.264,1485.7338708649784,-446.27670269072973,-0.020935368177311234,-1.1995082391124245,0.10021728793000917,5.7420276326368915,-1022.544254744199,-1022.544254744199,-1022.544254744199
66,frame_000066.png,67,0.268,1483.7883249519914,-524.7528557863933,-0.020531073364968146,-1.176343852686132,0.10175426993065532,5.83009021446149,-1074.9576264642606,-1074.9576264642606,-1074.9576264642606
67,frame_000067.png,68,0.272,1481.5361855714723,-599.6528823976246,-0.020121177115397827,-1.1528585275475116,0.10302746281539352,5.903038793263074,-1124.7850447140243,-1124.7850447140243,-1124.7850447140243
68,frame_000068.png,69,0.276,1478.991478875445,-671.1129347720404,-0.01970669884314341,-1.1291106718474593,0.10405432910270808,5.9618738976504675,-1172.127066814994,-1172.127066814994,-1172.127066814994
69,frame_000069.png,70,0.28,1476.1676964601302,-739.2642478055153,-0.019288589984913444,-1.1051547988938486,0.10485141181438527,6.007543372952414,-1217.0804515797877,-1217.0804515797877,-1217.0804515797877
70,frame_000070.png,71,0.28400000000000003,1473.077814711991,-804.2332972093703,-0.01886773759232733,-1.0810417330006814,0.10543437647705414,6.040944787728607,-1259.7383075636862,-1259.7383075636862,-1259.7383075636862
71,frame_000071.png,72,0.28800000000000003,1469.734313525349,-866.141955603832,-0.018444967759690716,-1.0568188058851513,0.10581805162086912,6.0629277541732804,-1300.1902346189445,-1300.1902346189445,-1300.1902346189445
72,frame_000072.png,73,0.292,1466.1491944009326,-925.107646015721,-0.01802104889281731,-1.032530043957337,0.10601646777377186,6.07429616232183,-1338.522459193257,-1338.522459193257,-1338.522459193257
73,frame_000073.png,74,0.296,1462.3339979365758,-981.2434923727081,-0.017596694824897393,-1.008216346846318,0.10604289496073409,6.075810328599169,-1374.817963766628,-1374.817963766628,-1374.817963766628
74,frame_000074.png,75,0.3,1458.2998207227186,-1034.658466681521,-0.01717256778535763,-0.9839156575033111,0.10590987872613988,6.068189059750199,-1409.1566107803892,-1409.1566107803892,-1409.1566107803892
75,frame_000075.png,76,0.304,1454.0573316564532,-1085.4575326563038,-0.01674928122757002,-0.9596631242174607,0.10562927470438759,6.052111633589395,-1441.6152613772042,-1441.6152613772042,-1441.6152613772042
76,frame_000076.png,77,0.308,1449.6167876886577,-1133.7417856285567,-0.016327402521156227,-0.9354912548735116,0.10521228176918665,6.028219698315609,-1472.2678892407712,-1472.2678892407712,-1472.2678892407712
